freq,unit,sectperf,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HC,TOTAL,ES	39.34 	39.59 	40.03 	40.15 	40.49 	40.77 	41.34 	41.47 	41.6 	41.58 	41.74 	: 
A,PC_HC,TOTAL,EU27_2020	32.21 e	: 	32.46 e	: 	32.79 e	: 	33.02 e	: 	33.73 e	: 	34.28 e	: 
A,PC_HC,TOTAL,FI	31.49 	32.1 	32.29 	32.52 	33.15 	33.7 	33.74 	33.4 	32.8 d	33.59 d	34.6 	: 
A,PC_HC,TOTAL,FR	25.46 e	26.14 be	: 	28 	28.29 p	: 	: 	29.41 	29.87 	29.72 	30.6 	: 
A,PC_HC,TOTAL,HR	47.75 	48.91 	48.91 	47.74 	48.42 	49 	48.28 	48.99 	48.76 	48.44 	49.06 	: 
A,PC_HC,TOTAL,HU	30.32 	30.36 	30.84 	30.76 	30.48 	27.95 b	30.01 	28.49 	29.3 	28.76 	29.83 	: 
A,PC_HC,TOTAL,IE	35.25 	: 	35.32 	: 	36.3 	: 	38.26 	: 	37.36 	: 	40.29 	: 
A,PC_HC,TOTAL,IS	43.83 b	: 	: 	: 	46.08 	46.07 u	: 	: 	45.25 	46.8 u	49.06 	: 
A,PC_HC,TOTAL,IT	35.7 	36.02 	36.04 	35.19 b	34.33 	33.78 	34.15 	34.9 	36.1 	36.43 	37.47 	: 
A,PC_HC,TOTAL,JP	14.63 d	14.7 d	15.25 d	15.7 d	16.18 d	16.56 d	16.87 d	17.47 d	17.83 d	18.26 d	18.48 d	: 
A,PC_HC,TOTAL,KR	18.18 	18.49 	18.9 	19.67 	20.1 	20.37 	21.03 	21.42 	22.17 	22.99 	23.71 	: 
A,PC_HC,TOTAL,LT	51.22 	50.25 	50.74 	51.57 	49.51 	49 	49.08 	49.07 	48.48 	48.85 	49.04 	: 
A,PC_HC,TOTAL,LU	27.28 	39.12 	28.36 	: 	28.07 	: 	27.37 	: 	29.9 	: 	32.06 	: 
A,PC_HC,TOTAL,LV	51.97 	: 	51.02 	52.18 	52.23 	50.68 	50.6 	50.01 	49.82 	50.65 	48.78 	: 
A,PC_HC,TOTAL,ME	50.9 	49.12 	47.57 d	: 	49.87 	49.56 	52.08 	: 	: 	: 	: 	: 
A,PC_HC,TOTAL,MK	: 	: 	49.05 	50.82 	52.27 	53.41 	53.31 	53.74 	: 	54.43 	: 	: 
A,PC_HC,TOTAL,MT	30.37 	30.39 	28.54 	28.71 	30.92 	32.19 	33.35 	33.03 	32.75 	33.3 	35.99 	: 
A,PC_HC,TOTAL,NL	24.56 b	24.93 	25.2 	26.05 	26.14 	27.04 	27.85 	28.59 	30.25 	30.17 b	30.19 	: 
